#ID;Baum-ID;Baumart;Baumart-Code;Beschrieb/BaumNr;Aufnahmedatum;BHD (cm);Schaftlänge (m);Längenklasse;Stärkenklasse;Position Sortimentsbasis am Stamm [m];Länge (m);Basis-Drm OR;Mitten-Durchm. OR [cm];Zopf-Durchm. OR [cm];Volumen OR [m3];Volumen IR [m3];Volumen Reststück Unten OR [m3];Volumen RestStück Oben OR [m3];Wert [CHF];
#Summe (ohne Rest);7;Fichte;0;Fichte_2_7;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
36;8;Fichte;0;Fichte_3_8;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
37;8;Fichte;0;Fichte_3_8;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
38;8;Fichte;0;Fichte_3_8;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
39;8;Fichte;0;Fichte_3_8;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
40;8;Fichte;0;Fichte_3_8;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;8;Fichte;0;Fichte_3_8;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);8;Fichte;0;Fichte_3_8;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
41;9;Tanne;1;Tanne_1_9;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
42;9;Tanne;1;Tanne_1_9;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
43;9;Tanne;1;Tanne_1_9;2010;32.0;29.0;L1;2a;10.8;6.0;23.7246;21.9996;19.927;0.2281;0.2577;0.6139;0.179;31.9299;
44;9;Tanne;1;Tanne_1_9;2010;32.0;29.0;L1;2b;4.7;6.0;27.0582;25.3248;23.7778;0.3022;0.339;0.3032;0.4109;48.3563;
45;9;Tanne;1;Tanne_1_9;2010;32.0;29.0;L1;2b;0.1;4.5;31.8868;28.9955;27.1262;0.2971;0.3337;0.0;0.72;47.5425;
#Rest;9;Tanne;1;Tanne_1_9;2010;32.0;29.0;;Rest:;0.0;0.1;0.0;;;0.0;0.0;;;;;
#Summe (ohne Rest);9;Tanne;1;Tanne_1_9;2010;32.0;29.0;;;;;;;;1.1144;1.2599;;;;142.1788;
#
46;10;Tanne;1;Tanne_2_10;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
47;10;Tanne;1;Tanne_2_10;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
48;10;Tanne;1;Tanne_2_10;2010;32.0;29.0;L1;2a;10.8;6.0;23.7246;21.9996;19.927;0.2281;0.2577;0.6139;0.179;31.9299;
49;10;Tanne;1;Tanne_2_10;2010;32.0;29.0;L1;2b;4.7;6.0;27.0582;25.3248;23.7778;0.3022;0.339;0.3032;0.4109;48.3563;
50;10;Tanne;1;Tanne_2_10;2010;32.0;29.0;L1;2b;0.1;4.5;31.8868;28.9955;27.1262;0.2971;0.3337;0.0;0.72;47.5425;
#Rest;10;Tanne;1;Tanne_2_10;2010;32.0;29.0;;Rest:;0.0;0.1;0.0;;;0.0;0.0;;;;;
#Summe (ohne Rest);10;Tanne;1;Tanne_2_10;2010;32.0;29.0;;;;;;;;1.1144;1.2599;;;;142.1788;
#
51;11;Fichte;0;Fichte_1_11;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
52;11;Fichte;0;Fichte_1_11;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
53;11;Fichte;0;Fichte_1_11;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
54;11;Fichte;0;Fichte_1_11;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
55;11;Fichte;0;Fichte_1_11;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;11;Fichte;0;Fichte_1_11;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);11;Fichte;0;Fichte_1_11;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
56;12;Fichte;0;Fichte_2_12;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
57;12;Fichte;0;Fichte_2_12;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
58;12;Fichte;0;Fichte_2_12;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
59;12;Fichte;0;Fichte_2_12;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
60;12;Fichte;0;Fichte_2_12;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;12;Fichte;0;Fichte_2_12;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);12;Fichte;0;Fichte_2_12;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
61;13;Fichte;0;Fichte_3_13;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
62;13;Fichte;0;Fichte_3_13;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
63;13;Fichte;0;Fichte_3_13;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
64;13;Fichte;0;Fichte_3_13;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
65;13;Fichte;0;Fichte_3_13;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;13;Fichte;0;Fichte_3_13;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);13;Fichte;0;Fichte_3_13;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
66;14;Tanne;1;Tanne_1_14;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
67;14;Tanne;1;Tanne_1_14;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
68;14;Tanne;1;Tanne_1_14;2010;32.0;29.0;L1;2a;10.8;6.0;23.7246;21.9996;19.927;0.2281;0.2577;0.6139;0.179;31.9299;
69;14;Tanne;1;Tanne_1_14;2010;32.0;29.0;L1;2b;4.7;6.0;27.0582;25.3248;23.7778;0.3022;0.339;0.3032;0.4109;48.3563;
70;14;Tanne;1;Tanne_1_14;2010;32.0;29.0;L1;2b;0.1;4.5;31.8868;28.9955;27.1262;0.2971;0.3337;0.0;0.72;47.5425;
#Rest;14;Tanne;1;Tanne_1_14;2010;32.0;29.0;;Rest:;0.0;0.1;0.0;;;0.0;0.0;;;;;
#Summe (ohne Rest);14;Tanne;1;Tanne_1_14;2010;32.0;29.0;;;;;;;;1.1144;1.2599;;;;142.1788;
#
71;15;Tanne;1;Tanne_2_15;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
72;15;Tanne;1;Tanne_2_15;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
73;15;Tanne;1;Tanne_2_15;2010;32.0;29.0;L1;2a;10.8;6.0;23.7246;21.9996;19.927;0.2281;0.2577;0.6139;0.179;31.9299;
74;15;Tanne;1;Tanne_2_15;2010;32.0;29.0;L1;2b;4.7;6.0;27.0582;25.3248;23.7778;0.3022;0.339;0.3032;0.4109;48.3563;
75;15;Tanne;1;Tanne_2_15;2010;32.0;29.0;L1;2b;0.1;4.5;31.8868;28.9955;27.1262;0.2971;0.3337;0.0;0.72;47.5425;
#Rest;15;Tanne;1;Tanne_2_15;2010;32.0;29.0;;Rest:;0.0;0.1;0.0;;;0.0;0.0;;;;;
#Summe (ohne Rest);15;Tanne;1;Tanne_2_15;2010;32.0;29.0;;;;;;;;1.1144;1.2599;;;;142.1788;
#
76;16;Fichte;0;Fichte_1_16;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
77;16;Fichte;0;Fichte_1_16;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
78;16;Fichte;0;Fichte_1_16;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
79;16;Fichte;0;Fichte_1_16;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
80;16;Fichte;0;Fichte_1_16;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;16;Fichte;0;Fichte_1_16;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);16;Fichte;0;Fichte_1_16;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
81;17;Fichte;0;Fichte_2_17;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
82;17;Fichte;0;Fichte_2_17;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
83;17;Fichte;0;Fichte_2_17;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
84;17;Fichte;0;Fichte_2_17;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
85;17;Fichte;0;Fichte_2_17;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;17;Fichte;0;Fichte_2_17;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);17;Fichte;0;Fichte_2_17;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
86;18;Fichte;0;Fichte_3_18;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
87;18;Fichte;0;Fichte_3_18;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
88;18;Fichte;0;Fichte_3_18;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
89;18;Fichte;0;Fichte_3_18;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
90;18;Fichte;0;Fichte_3_18;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;18;Fichte;0;Fichte_3_18;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);18;Fichte;0;Fichte_3_18;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
91;19;Tanne;1;Tanne_1_19;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
92;19;Tanne;1;Tanne_1_19;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
93;19;Tanne;1;Tanne_1_19;2010;32.0;29.0;L1;2a;10.8;6.0;23.7246;21.9996;19.927;0.2281;0.2577;0.6139;0.179;31.9299;
94;19;Tanne;1;Tanne_1_19;2010;32.0;29.0;L1;2b;4.7;6.0;27.0582;25.3248;23.7778;0.3022;0.339;0.3032;0.4109;48.3563;
95;19;Tanne;1;Tanne_1_19;2010;32.0;29.0;L1;2b;0.1;4.5;31.8868;28.9955;27.1262;0.2971;0.3337;0.0;0.72;47.5425;
#Rest;19;Tanne;1;Tanne_1_19;2010;32.0;29.0;;Rest:;0.0;0.1;0.0;;;0.0;0.0;;;;;
#Summe (ohne Rest);19;Tanne;1;Tanne_1_19;2010;32.0;29.0;;;;;;;;1.1144;1.2599;;;;142.1788;
#
96;20;Tanne;1;Tanne_2_20;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
97;20;Tanne;1;Tanne_2_20;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
98;20;Tanne;1;Tanne_2_20;2010;32.0;29.0;L1;2a;10.8;6.0;23.7246;21.9996;19.927;0.2281;0.2577;0.6139;0.179;31.9299;
99;20;Tanne;1;Tanne_2_20;2010;32.0;29.0;L1;2b;4.7;6.0;27.0582;25.3248;23.7778;0.3022;0.339;0.3032;0.4109;48.3563;
100;20;Tanne;1;Tanne_2_20;2010;32.0;29.0;L1;2b;0.1;4.5;31.8868;28.9955;27.1262;0.2971;0.3337;0.0;0.72;47.5425;
#Rest;20;Tanne;1;Tanne_2_20;2010;32.0;29.0;;Rest:;0.0;0.1;0.0;;;0.0;0.0;;;;;
#Summe (ohne Rest);20;Tanne;1;Tanne_2_20;2010;32.0;29.0;;;;;;;;1.1144;1.2599;;;;142.1788;
#
101;21;Fichte;0;Fichte_1_21;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
102;21;Fichte;0;Fichte_1_21;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
103;21;Fichte;0;Fichte_1_21;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
104;21;Fichte;0;Fichte_1_21;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
105;21;Fichte;0;Fichte_1_21;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;21;Fichte;0;Fichte_1_21;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);21;Fichte;0;Fichte_1_21;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
106;22;Fichte;0;Fichte_2_22;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
107;22;Fichte;0;Fichte_2_22;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
108;22;Fichte;0;Fichte_2_22;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
109;22;Fichte;0;Fichte_2_22;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
110;22;Fichte;0;Fichte_2_22;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;22;Fichte;0;Fichte_2_22;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);22;Fichte;0;Fichte_2_22;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
111;23;Fichte;0;Fichte_3_23;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
112;23;Fichte;0;Fichte_3_23;2010;32.0;29.0;L1;1b;15.2296;6.0;20.5474;17.6145;14.0017;0.1462;0.1675;0.7961;0.0464;7.3106;
113;23;Fichte;0;Fichte_3_23;2010;32.0;29.0;L1;2a;10.8;6.0;23.7068;21.7122;19.0954;0.2222;0.2489;0.6216;0.1439;31.1012;
114;23;Fichte;0;Fichte_3_23;2010;32.0;29.0;L1;2b;4.7;6.0;27.0869;25.342;23.7643;0.3026;0.3323;0.3106;0.3692;48.422;
115;23;Fichte;0;Fichte_3_23;2010;32.0;29.0;L1;2b;0.6;4.0;31.8145;28.9613;27.1588;0.2635;0.2872;0.0165;0.6786;42.1604;
#Rest;23;Fichte;0;Fichte_3_23;2010;32.0;29.0;;Rest:;0.0;0.6;0.0;;;0.0165;0.0179;;;;;
#Summe (ohne Rest);23;Fichte;0;Fichte_3_23;2010;32.0;29.0;;;;;;;;1.0807;1.2034;;;;136.3048;
#
116;24;Tanne;1;Tanne_1_24;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
117;24;Tanne;1;Tanne_1_24;2010;32.0;29.0;L1;1b;16.674;6.0;20.023;17.4505;14.0017;0.1435;0.1647;0.8399;0.0404;7.175;
118;24;Tanne;1;Tanne_1_24;2010;32.0;29.0;L1;2a;10.8;6.0;23.7246;21.9996;19.927;0.2281;0.2577;0.6139;0.179;31.9299;
119;24;Tanne;1;Tanne_1_24;2010;32.0;29.0;L1;2b;4.7;6.0;27.0582;25.3248;23.7778;0.3022;0.339;0.3032;0.4109;48.3563;
